class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.11510115,0.077104926,-0.10919467,-0.11513552,0.07708961,-0.10927658,-0.11509247,0.07685036,-0.10918158,-0.115104586,0.077082746,-0.109278776
-0.11519158,0.07704323,-0.10925509,-0.11523939,0.07703787,-0.109311424,-0.11504662,0.07691529,-0.10923461,-0.115172036,0.077095,-0.109229654
-0.11515635,0.07711794,-0.10921229,-0.11507325,0.077131554,-0.10916141,-0.11510269,0.076888934,-0.109223895,-0.114971995,0.07707131,-0.109222546
-0.11516067,0.07712097,-0.1092122,-0.115200944,0.077084236,-0.10927187,-0.11509659,0.07703528,-0.10921796,-0.11527604,0.077029735,-0.10930354
-0.115098,0.077086255,-0.10919602,-0.115093604,0.077118024,-0.10917094,-0.11522145,0.0771451,-0.10926093,-0.11496899,0.07703194,-0.109109364
-0.11523028,0.07708932,-0.1093033,-0.115223385,0.07712764,-0.1092805,-0.1150726,0.07693418,-0.10924059,-0.11497254,0.077079825,-0.10920897
-0.115127265,0.07706796,-0.10925048,-0.11498718,0.077021755,-0.10914641,-0.11512823,0.07709902,-0.10919418,-0.11497787,0.07698105,-0.10919812
-0.11504085,0.07703373,-0.10923558,-0.11513405,0.07713394,-0.10926309,-0.1151154,0.07689409,-0.109191,-0.11501049,0.07704669,-0.109244704
-0.11510084,0.077116944,-0.10917385,-0.11514126,0.077079386,-0.10928672,-0.115199454,0.07702753,-0.109237425,-0.11510827,0.0770713,-0.1091997
-0.1151374,0.07713665,-0.109195724,-0.11517983,0.077065736,-0.10925363,-0.11499511,0.077056825,-0.10913641,-0.11518936,0.07707556,-0.109275304
